osm_id,osm_type,name,amenity,cuisine,brand,operator,address,housenumber,postcode,phone,website,opening_hours,outdoor_seating,takeaway,delivery,wheelchair,latitude,longitude,search_postcode_sector,search_ward,search_constituency,is_chain_name,chain_matched,is_chain_brand,is_chain_website,is_chain,validated,validation_status,google_place_id,google_name,google_types,google_rating,google_user_ratings_total,google_price_level,google_vicinity,google_lat,google_lng,business_status,google_phone,google_phone_intl,google_website,google_opening_hours,google_photo_reference,search_type,data_source
279457766,way,No. 1 York Place,restaurant,,,,York Place,1,BS8 1AH,+44 117 244 7775,https://www.1yorkplace.co.uk/,,,,,,51.4545074,-2.6133086,BS8 4,Clifton,Bristol Central,FALSE,,FALSE,FALSE,FALSE,TRUE,,ChIJMbzJ98WNcUgR8AMna2AblGY,1 York Pl,premise,,,,Bristol,51.4544955,-2.6133309,,,,,{},AcnlKN3Tuo6pd4FuQBD9TE5KiZM6lGpG2qXTRxTsEEvRHpjVuyTbGN3e8L_tPbvIv_JdBooMBuMH7CNTDy7as3iRBdmXGjzodHugGrJ0PU93MeT2HBulLVi38PQTldYCkWH1uCXGBxwaYs8rZmzWSQsVxCNstXTAJzgkhk3_bVgJdwMXG_cQQ9osfJE2uOLfjS4vaajeSWUzR5kGjOjBGtMFh6fO7Hz-NKW6CWkFyKjUh3KoRQHRNY0selwm1AdLY3g9cmahS1uMcMp7rVLons-3Sje3rsRuVldfiVLgs16O2fN_ZrJ3gL8ufyDGHOV-bJcECTCerDWiNTYSzy4Ha3Wv1lgufi8zPPhwRV4OhUjhdfMMTfNwnLr5apG025ImH0Zy_EPZVNLIbca1eqEUw1jK_fxJJJXdHqA5d0EOOhbDRwqDuNqu2NaU26JeWrjWhQ,,OSM
,,,,,,,,,,,,,,,,,,,BS8 3,Clifton,,,,,,,,,ChIJtf6ZKxGNcUgRYam9d0R0HEg,22 Clifton,"bar,point_of_interest,food,establishment",4.6,70,,"The Cellars, 22 The Mall, Bristol",51.4551041,-2.6207907,OPERATIONAL,0117 403 5329,+44 117 403 5329,http://www.22clifton.com/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""2100""}, ""open"": {""day"": 0, ""time"": ""1400""}}, {""close"": {""day"": 3, ""time"": ""2100""}, ""open"": {""day"": 3, ""time"": ""1500""}}, {""close"": {""day"": 4, ""time"": ""2300""}, ""open"": {""day"": 4, ""time"": ""1200""}}, {""close"": {""day"": 6, ""time"": ""0000""}, ""open"": {""day"": 5, ""time"": ""1200""}}, {""close"": {""day"": 0, ""time"": ""0000""}, ""open"": {""day"": 6, ""time"": ""1200""}}], ""weekday_text"": [""Monday: Closed"", ""Tuesday: Closed"", ""Wednesday: 3:00\u2009\u2013\u20099:00\u202fPM"", ""Thursday: 12:00\u2009\u2013\u200911:00\u202fPM"", ""Friday: 12:00\u202fPM\u2009\u2013\u200912:00\u202fAM"", ""Saturday: 12:00\u202fPM\u2009\u2013\u200912:00\u202fAM"", ""Sunday: 2:00\u2009\u2013\u20099:00\u202fPM""]}",AcnlKN0PQ7IFWGEg9ys94-KrIVTt47Wv6WqP6hbKQ_4Fk6CgZmbNRJI_U2Vv4N7PUgEj2rnvCMiOqbX3cEBj09sOmGVKL4kdEr1MDAK3ma846a25NfJpmf7rhavmPSjmnzsAsZib7bmQOeZAgnrOCO7gGibXbNIZgkmAWo8PHza--8-PM-68GTx_JEPECTs-3N2XMlsFFCzuaLZQ9T3aX2vNkE904cclqhHL3UzEtN3gOvMjMrjlaYMszcQuQobXnuErSgN3B2h8rCubegN1ST1zUxTRYRwnf-rvZZ4W75P_wnhcfA,bar,Google
5484760716,node,360 at the Observatory,cafe,,,,,,,,,,,,,,51.456676,-2.6264139,BS8 3,Clifton,Bristol Central,FALSE,,FALSE,FALSE,FALSE,TRUE,,ChIJNf8CgyGNcUgR1PFMEqVCfKM,360 Coffeeshop,"cafe,point_of_interest,food,establishment",3.9,111,,"Unnamed Road, Clifton, Bristol",51.4567047,-2.6265125,OPERATIONAL,0117 974 1242,+44 117 974 1242,https://cliftonobservatory.com/bristolcoffeeshop-360cafe/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""1700""}, ""open"": {""day"": 0, ""time"": ""1000""}}, {""close"": {""day"": 1, ""time"": ""1600""}, ""open"": {""day"": 1, ""time"": ""1000""}}, {""close"": {""day"": 2, ""time"": ""1600""}, ""open"": {""day"": 2, ""time"": ""1000""}}, {""close"": {""day"": 3, ""time"": ""1600""}, ""open"": {""day"": 3, ""time"": ""1000""}}, {""close"": {""day"": 4, ""time"": ""1600""}, ""open"": {""day"": 4, ""time"": ""1000""}}, {""close"": {""day"": 5, ""time"": ""1600""}, ""open"": {""day"": 5, ""time"": ""1000""}}, {""close"": {""day"": 6, ""time"": ""1700""}, ""open"": {""day"": 6, ""time"": ""1000""}}], ""weekday_text"": [""Monday: 10:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 10:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 10:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 10:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 10:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Sunday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM""]}",AcnlKN1prl5D5EF2v9zSKg9a06-xfuOXuUa7nICKD6zHIZZwBl3BYMHaGeGXsk0qf55xWRxlYCLZzP0qjAhPem5K9ZJo_2xeiZgtnzFtT07AfZsKm20A0uidEgaX19GQMXzvYDkkP7uWbB9XIeLIgJhzrmUuiqyFe6XJO_fqGuo2kO_Yqp7hLEpktGD3wPYgHFLcvYvOoAfSzaW0gTiMFXZd96diB378K8KhZ0Bwj965MxlSLT-zCMQll0hFgmCJDP9j_pP-DmMGTaENkcseN9_XQfKaBSq6sW1Ds3xSnRZ_BDDRvbZFU6wJZ0RSp3rfjIW5TULqfnyYETF6E7dv7LOJYPvSnLi3-b8WpXp397PSU8K9qHC9tCv0IOABa2w0t_VJjPAYPipRnoSaLS3YW-Vi7x5j7JBGllcqkVCoL38Zn6jFTwg9,,OSM
,,,,,,,,,,,,,,,,,,,BS8 3,Clifton,,,,,,,,,ChIJm4BrUOiNcUgRXHOD760GqoU,360 Rooftop Terrace,"bar,point_of_interest,establishment",4.9,9,,"Litfield Road, Clifton, Bristol",51.4566015,-2.6264748,OPERATIONAL,0117 974 1242,+44 117 974 1242,https://cliftonobservatory.com/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""1700""}, ""open"": {""day"": 0, ""time"": ""1000""}}, {""close"": {""day"": 1, ""time"": ""1700""}, ""open"": {""day"": 1, ""time"": ""1000""}}, {""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""1000""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""1000""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""1000""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""1000""}}, {""close"": {""day"": 6, ""time"": ""1700""}, ""open"": {""day"": 6, ""time"": ""1000""}}], ""weekday_text"": [""Monday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Tuesday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Sunday: 10:00\u202fAM\u2009\u2013\u20095:00\u202fPM""]}",AcnlKN0BNchV2Js8q5nAAsxj62dh9UzVyAbGxGm9kvqlhfXbRmpOrN6JT9F0YAqB9qBn64Yg7daBNjdczZZSKad8EdMO5mGOPoe7P5SdBYHh7guW6HzLOGbOko4MCkF6rZBV4yD58Ji8t_yU9-GIGVCRh7TGJbmroAXytRd8OR3DtTjOB-LiDzYN-asmUwfT8qMT-_XSG-gIzSPEDl9aUh1xkPZjYsgP4ftJcKBVuctah7u2QthQgcsqduzJRgjZzg4DKLM8DlWANmoLMJAxX8Dpt4zxcrETQETWYUJrqs6VNuVACh4FMCQg5URtKJzgTsWhIU4DqO6OnY29GH9HYS-uh1lKBj6FSZkLOFzQ-zSIIJJMbfplYmYJywiiK1R6omz_N1dchQ3FWy27VXVmIusPzVl4bNWRot4UYktVh7_lf-8GfbjhrEU0SIpD6VZIeA,bar,Google
468150397,way,4500 Miles from Delhi,restaurant,indian,,,Colston Avenue,10-Aug,BS1 4ST,,,,,,,yes,51.4540454,-2.5964042,BS1 1,Central,Bristol Central,FALSE,,FALSE,FALSE,FALSE,TRUE,,ChIJHZiKus8EdkgRUjtL_OA5NYU,4500 Miles From Delhi Indian Restaurant Bristol,"bar,restaurant,point_of_interest,food,establishment",4.4,2131,2,"8 Colston Ave, Bristol",51.4539838,-2.5965547,OPERATIONAL,0117 929 2224,+44 117 929 2224,http://4500milesdelhi.co.uk/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""2200""}, ""open"": {""day"": 0, ""time"": ""1200""}}, {""close"": {""day"": 1, ""time"": ""2300""}, ""open"": {""day"": 1, ""time"": ""1300""}}, {""close"": {""day"": 2, ""time"": ""2300""}, ""open"": {""day"": 2, ""time"": ""1300""}}, {""close"": {""day"": 3, ""time"": ""2300""}, ""open"": {""day"": 3, ""time"": ""1300""}}, {""close"": {""day"": 4, ""time"": ""2300""}, ""open"": {""day"": 4, ""time"": ""1300""}}, {""close"": {""day"": 5, ""time"": ""2300""}, ""open"": {""day"": 5, ""time"": ""1300""}}, {""close"": {""day"": 6, ""time"": ""2300""}, ""open"": {""day"": 6, ""time"": ""1200""}}], ""weekday_text"": [""Monday: 1:00\u2009\u2013\u200911:00\u202fPM"", ""Tuesday: 1:00\u2009\u2013\u200911:00\u202fPM"", ""Wednesday: 1:00\u2009\u2013\u200911:00\u202fPM"", ""Thursday: 1:00\u2009\u2013\u200911:00\u202fPM"", ""Friday: 1:00\u2009\u2013\u200911:00\u202fPM"", ""Saturday: 12:00\u2009\u2013\u200911:00\u202fPM"", ""Sunday: 12:00\u2009\u2013\u200910:00\u202fPM""]}",AcnlKN3we4yquKrG7V-IWpxr8mH_7wawyBpuHSuK0NNsFMKF5SwWsLjDnOhjTBA1w-4JUit5n8R3tMXsBt_ijgwCqLp38pwHpEelr4XbduanjOvwibDTo8kYyWn95e9aCzn1rmfoRC9ieiKbE-lxjo2Mo_yGVIUKDM1kGxzp0psc4jQC7A8vrjgfvpEeaY1ljNY_kllGiN3r99M1QTQ0nNnIPyAS8ApY6vIUyZVtZPTs0DNCGiI1O2ZC43WoNQtiNOTa2MqmtRlxWO3VgH0iAZb3S8MqpgpxQfgs9FmBQoUG26gCew,,OSM
186297208,way,808,cafe,,,808Bristol,Perry Road,19-20,BS1 5BG,,https://linktr.ee/808bristol,,,,,,51.456924,-2.5977748,BS1 1,Central,Bristol Central,FALSE,,FALSE,FALSE,FALSE,TRUE,,ChIJA7Gim_yNcUgRhS1kgnxyrXg,808 Bristol,"cafe,bar,store,point_of_interest,food,establishment",4.8,61,,"19-20 Perry Rd, Bristol",51.4569201,-2.5976891,OPERATIONAL,,,http://www.808bristol.com/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""1500""}, ""open"": {""day"": 0, ""time"": ""1000""}}, {""close"": {""day"": 1, ""time"": ""1600""}, ""open"": {""day"": 1, ""time"": ""0800""}}, {""close"": {""day"": 2, ""time"": ""1600""}, ""open"": {""day"": 2, ""time"": ""0800""}}, {""close"": {""day"": 3, ""time"": ""1600""}, ""open"": {""day"": 3, ""time"": ""0800""}}, {""close"": {""day"": 4, ""time"": ""1600""}, ""open"": {""day"": 4, ""time"": ""0800""}}, {""close"": {""day"": 5, ""time"": ""1600""}, ""open"": {""day"": 5, ""time"": ""0800""}}, {""close"": {""day"": 6, ""time"": ""1500""}, ""open"": {""day"": 6, ""time"": ""0900""}}], ""weekday_text"": [""Monday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Tuesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Wednesday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Thursday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Friday: 8:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Saturday: 9:00\u202fAM\u2009\u2013\u20093:00\u202fPM"", ""Sunday: 10:00\u202fAM\u2009\u2013\u20093:00\u202fPM""]}",AcnlKN1yAzsO--4yfH3P7bcLkc6nb_BIfUJlNQEeN5Su6gLfkrqJbe3ivdo4BXoB_HX4ntLQrVZEGwGF_MVzU6BkKvIRLF_E4qebTa5aMl5si0Pme_Mea2nCHbuWRT5nnFSyYWvUZBHN3wWDiIN6Gk8Zim8al3OCGYDgSc3efaXe8Bnahj3jvEPRbd6GfdJ9PwsMdN7Dm6IYvb75cB2SjNSXG4PTKtHATyqlHxUtVjFIGrTLK2owPh2nuXjTKx5jXy9fJ6OyvBNyCKvp6wWIN91DD66rACK_CnEanC-PdCGM6aB_aA,,OSM
171824443,way,Al Fresco,restaurant,,,,Stoke Lane,124,BS9 3RJ,,,,,,,,51.4889198,-2.6242421,BS9 2,Westbury-on-Trym and Henleaze,Bristol North West,FALSE,,FALSE,FALSE,FALSE,TRUE,,ChIJTXsL0XSScUgR0OneqYJEnzQ,AL FRESCO Westbury On Trym,"restaurant,food,point_of_interest,establishment",4.7,362,2,"124 Stoke Ln, Bristol",51.4888196,-2.6241811,OPERATIONAL,0117 962 2577,+44 117 962 2577,https://alfrescowestburyontrym.co.uk/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""2100""}, ""open"": {""day"": 0, ""time"": ""1200""}}, {""close"": {""day"": 1, ""time"": ""1500""}, ""open"": {""day"": 1, ""time"": ""1200""}}, {""close"": {""day"": 1, ""time"": ""2230""}, ""open"": {""day"": 1, ""time"": ""1730""}}, {""close"": {""day"": 2, ""time"": ""1500""}, ""open"": {""day"": 2, ""time"": ""1200""}}, {""close"": {""day"": 2, ""time"": ""2230""}, ""open"": {""day"": 2, ""time"": ""1730""}}, {""close"": {""day"": 3, ""time"": ""1500""}, ""open"": {""day"": 3, ""time"": ""1200""}}, {""close"": {""day"": 3, ""time"": ""2230""}, ""open"": {""day"": 3, ""time"": ""1730""}}, {""close"": {""day"": 4, ""time"": ""1500""}, ""open"": {""day"": 4, ""time"": ""1200""}}, {""close"": {""day"": 4, ""time"": ""2230""}, ""open"": {""day"": 4, ""time"": ""1730""}}, {""close"": {""day"": 5, ""time"": ""1500""}, ""open"": {""day"": 5, ""time"": ""1200""}}, {""close"": {""day"": 5, ""time"": ""2230""}, ""open"": {""day"": 5, ""time"": ""1730""}}, {""close"": {""day"": 6, ""time"": ""1500""}, ""open"": {""day"": 6, ""time"": ""1200""}}, {""close"": {""day"": 6, ""time"": ""2230""}, ""open"": {""day"": 6, ""time"": ""1730""}}], ""weekday_text"": [""Monday: 12:00\u2009\u2013\u20093:00\u202fPM, 5:30\u2009\u2013\u200910:30\u202fPM"", ""Tuesday: 12:00\u2009\u2013\u20093:00\u202fPM, 5:30\u2009\u2013\u200910:30\u202fPM"", ""Wednesday: 12:00\u2009\u2013\u20093:00\u202fPM, 5:30\u2009\u2013\u200910:30\u202fPM"", ""Thursday: 12:00\u2009\u2013\u20093:00\u202fPM, 5:30\u2009\u2013\u200910:30\u202fPM"", ""Friday: 12:00\u2009\u2013\u20093:00\u202fPM, 5:30\u2009\u2013\u200910:30\u202fPM"", ""Saturday: 12:00\u2009\u2013\u20093:00\u202fPM, 5:30\u2009\u2013\u200910:30\u202fPM"", ""Sunday: 12:00\u2009\u2013\u20099:00\u202fPM""]}",AcnlKN3H3TGouQfMJb18RZeJYidYBBqkB8yhpQNPsK2wCJcB0wAj1Le6vy8pjNTOlQSgtmJMmdeOiMgiFCEspYYl8g26_-Z0bf3eLE5keJQAfz-MJBVNxko-0d9H7ckIwgRJizgHZrydJwbIOHs6CmzOmlh0Df21I7ownxiB_rrLeFTBNDahhiN0vy54fulgMbrsnMgTPh5DUQf_ZVuF9DJZdQl--RAWyWA5SS0iRnwuMVhq229lFmUgPo5Ob-r_U5RFJ2usbn8SP_nsHsAHH9T2So7i4DSC_OMTR5ysoZ7g4SLGNw,,OSM
,,,,,,,,,,,,,,,,,,,BS8 3,Clifton,,,,,,,,,ChIJBQ55w0yOcUgRdLEXysSwANw,ANNA Cake Couture,"cafe,bakery,store,point_of_interest,food,establishment",4.7,338,,"7A Boyce's Avenue, Bristol",51.4551382,-2.6186543,OPERATIONAL,0117 329 5959,+44 117 329 5959,https://www.thisisanna.co.uk/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 0, ""time"": ""1800""}, ""open"": {""day"": 0, ""time"": ""1000""}}, {""close"": {""day"": 1, ""time"": ""1800""}, ""open"": {""day"": 1, ""time"": ""1000""}}, {""close"": {""day"": 2, ""time"": ""1800""}, ""open"": {""day"": 2, ""time"": ""1000""}}, {""close"": {""day"": 3, ""time"": ""1800""}, ""open"": {""day"": 3, ""time"": ""1000""}}, {""close"": {""day"": 4, ""time"": ""1800""}, ""open"": {""day"": 4, ""time"": ""1000""}}, {""close"": {""day"": 5, ""time"": ""1800""}, ""open"": {""day"": 5, ""time"": ""1000""}}, {""close"": {""day"": 6, ""time"": ""1800""}, ""open"": {""day"": 6, ""time"": ""1000""}}], ""weekday_text"": [""Monday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Tuesday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Wednesday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Thursday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Friday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Saturday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM"", ""Sunday: 10:00\u202fAM\u2009\u2013\u20096:00\u202fPM""]}",AcnlKN14w0MhCMtKXtzAMj9aRisBVPkcW-WZXgwBsWyA9WI55KGL7EGTp6TMiqpSg5Y2SjInBPZDVlSF8ONqzLXLCXuuJJ-puEPjWRqna5EmP_JKEMtO5WNpAesyu9DcJIYXfsR6-CD0myNj2a-MI2wWnX5Dy9TKf0g0GXxoUQT2Refd6rp316EYMEKKn1uG4UaSMEnyE2791uOEGnoTtrR5IeXErj8rhez9xL6--HCNmSXw5Fe7oBZ4rzGXKjadDE8R_4Kyal58EhzVTMTXitdrRWxMxvpW5_3Um8l3GNo72pr9cQ,cafe,Google
,,,,,,,,,,,,,,,,,,,BS5 5,Easton,,,,,,,,,ChIJCYNttqePcUgRDG3zEBxlcEM,Ababo's Cuisine (Ethiopia),"restaurant,point_of_interest,food,establishment",5,111,,"Easton Community Centre, Kilburn Street, Bristol",51.4618083,-2.5629176,OPERATIONAL,07588 869995,+44 7588 869995,https://www.instagram.com/ababoscuisine/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 2, ""time"": ""1700""}, ""open"": {""day"": 2, ""time"": ""0900""}}, {""close"": {""day"": 3, ""time"": ""1700""}, ""open"": {""day"": 3, ""time"": ""0900""}}, {""close"": {""day"": 4, ""time"": ""1700""}, ""open"": {""day"": 4, ""time"": ""0900""}}, {""close"": {""day"": 5, ""time"": ""1700""}, ""open"": {""day"": 5, ""time"": ""0900""}}, {""close"": {""day"": 6, ""time"": ""1600""}, ""open"": {""day"": 6, ""time"": ""1000""}}], ""weekday_text"": [""Monday: Closed"", ""Tuesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Wednesday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Thursday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Friday: 9:00\u202fAM\u2009\u2013\u20095:00\u202fPM"", ""Saturday: 10:00\u202fAM\u2009\u2013\u20094:00\u202fPM"", ""Sunday: Closed""]}",AcnlKN0xlvybzkzdSO2_ZI4RfLodb17JMx-fcKcll_plaPnnwYaPzHD5boJEzMbF34QImFWX0eAemINRv9EKZ62k_Zaj24xTA9tKEVmWDnbvkCBJKdRfFfw-SO9W7rvogtY304bpmHDrSt4Ts8JB3VMSh6UIA7zEvIMLjIogi5nsiYatD2EuFhsdwnj4N6sR9oQ4K0gEZNzlvSOsPgRk56OizpPGlC9Y6BZfW9qgLPUQKViIOLt6BFzqSl66j1LAFDcSnmQU03b3hJLlKvcrswbBCkAmKAyS1y0Xj_i1rRAFCn0zk2woO7IRWryyb3kNshH2IPIcCgTxi1JiWK9HGtWvai8sb92_FQ0v6jdX9uYcQk9c9e_ksThHQxnOxcfPhqnoxg0oiGAAm9Eaxb6Bk1_Udrp5wIWf65bt-dVq8-IBnqvRDQ,restaurant,Google
13231401367,node,Adelina Yard,restaurant,,,,Welsh Back,,BS1 4SL,,,,,,,,51.450437,-2.5925478,BS1 1,Central,Bristol Central,FALSE,,FALSE,FALSE,FALSE,TRUE,,ChIJE_XX2HiOcUgRjaDsgSbU2iE,Adelina Yard,"restaurant,point_of_interest,food,establishment",4.8,452,3,"Queen's Quay, Welsh Back, Bristol",51.4505453,-2.5924714,OPERATIONAL,0117 925 6682,+44 117 925 6682,https://www.adelinayard.com/,"{""open_now"": false, ""periods"": [{""close"": {""day"": 3, ""time"": ""1400""}, ""open"": {""day"": 3, ""time"": ""1200""}}, {""close"": {""day"": 3, ""time"": ""2000""}, ""open"": {""day"": 3, ""time"": ""1800""}}, {""close"": {""day"": 4, ""time"": ""1400""}, ""open"": {""day"": 4, ""time"": ""1200""}}, {""close"": {""day"": 4, ""time"": ""2000""}, ""open"": {""day"": 4, ""time"": ""1800""}}, {""close"": {""day"": 5, ""time"": ""1400""}, ""open"": {""day"": 5, ""time"": ""1200""}}, {""close"": {""day"": 5, ""time"": ""2030""}, ""open"": {""day"": 5, ""time"": ""1730""}}, {""close"": {""day"": 6, ""time"": ""1400""}, ""open"": {""day"": 6, ""time"": ""1200""}}, {""close"": {""day"": 6, ""time"": ""2030""}, ""open"": {""day"": 6, ""time"": ""1730""}}], ""weekday_text"": [""Monday: Closed"", ""Tuesday: Closed"", ""Wednesday: 12:00\u2009\u2013\u20092:00\u202fPM, 6:00\u2009\u2013\u20098:00\u202fPM"", ""Thursday: 12:00\u2009\u2013\u20092:00\u202fPM, 6:00\u2009\u2013\u20098:00\u202fPM"", ""Friday: 12:00\u2009\u2013\u20092:00\u202fPM, 5:30\u2009\u2013\u20098:30\u202fPM"", ""Saturday: 12:00\u2009\u2013\u20092:00\u202fPM, 5:30\u2009\u2013\u20098:30\u202fPM"", ""Sunday: Closed""]}",AcnlKN2zQoxfAwYl3L858FbtkrZxLYCQWbtxKyQ6a3rvLxKVvfiDEUIC2A9DiRKLz_Ly1lcJUlnc_qMuPdfogMEAlY3IhcAxThTrej1KcmNKaQUN73zu1R3U1nLmrL8KfNuPpiXVWLQ3c-L44ehZCZ5VY4xRhGg1_scU6fLXPhUQfevVegBMHfriXLh-IItn2PiI-EigTZsDwqgyD0BKgftuZZIWNzKBhd8Y3uDOfn2IKUsOEOX4NtrkEMpkOVL716vfoSaY0PVuAiv_snfU3Gz2-G-Td8jKoCEcA1wCnFYu33qWAA,,OSM
